"SEX","n","island","ID","tripID","n_locs","departure","return","duration","total_dist","max_dist","direction","Mean_Depth","Median_Depth","SD_Depth","Max_Depth","Min_Depth","Source","Island"
"F","91","SP","SLSPSP7","SLSPSP7_06","488","2022-06-19 08:44:42","2022-06-19 10:14:59","1.50472222222222","41.8764282568546","12.0190978299895","309.753667771052",NA,NA,NA,NA,NA,NA,NA
"F","92","SP","SLSPSP7","SLSPSP7_07","1260","2022-06-19 12:44:29","2022-06-19 16:19:20","3.58083333333333","101.840262060458","28.9301239640799","292.453734493198",NA,NA,NA,NA,NA,NA,NA
"M","93","SP","SLSPSP8","SLSPSP8_01","648","2022-06-17 16:05:50","2022-06-17 17:53:40","1.79722222222222","62.6571651519846","23.1288722636576","38.8233605460318",NA,NA,NA,NA,NA,NA,NA
"M","94","SP","SLSPSP8","SLSPSP8_02","1151","2022-06-18 14:16:39","2022-06-18 17:32:10","3.25861111111111","110.443379337891","26.1476202792176","27.5904408535838",NA,NA,NA,NA,NA,NA,NA
"M","95","SP","SLSPSP9","SLSPSP9_01","1036","2022-06-16 16:19:40","2022-06-16 19:24:21","3.07805555555556","111.969541591459","45.3544271980921","58.8036706337163",NA,NA,NA,NA,NA,NA,NA
"M","96","SP","SLSPSP9","SLSPSP9_02","1458","2022-06-17 12:51:10","2022-06-17 17:05:11","4.23361111111111","132.856015238951","39.3263449025549","70.5553673916767",NA,NA,NA,NA,NA,NA,NA
"M","97","SP","SLSPSP9","SLSPSP9_03","1055","2022-06-18 08:52:20","2022-06-18 11:51:20","2.98333333333333","77.1423825917541","19.0776685934086","276.785150960816",NA,NA,NA,NA,NA,NA,NA
"M","98","SP","SLSPSP9","SLSPSP9_04","546","2022-06-18 16:56:30","2022-06-18 18:27:20","1.51388888888889","53.4084546104076","20.88113271851","42.6829966226445",NA,NA,NA,NA,NA,NA,NA
"M","99","SP","SLSPSP9","SLSPSP9_05","1100","2022-06-19 08:50:20","2022-06-19 12:01:49","3.19138888888889","69.1459107428176","20.8109446883665","7.59077286083539",NA,NA,NA,NA,NA,NA,NA
"M","100","SP","SLSPSP9","SLSPSP9_06","395","2022-06-19 18:43:01","2022-06-19 19:50:02","1.11694444444444","42.0367459714136","15.2723110617679","67.2947926080841",NA,NA,NA,NA,NA,NA,NA
